year,phys_circ_per_capita,digital_assets_millions,footfall
2002.0,9.887294860732862,8e-06,1383396.0
2003.0,10.11977276182524,4.7e-05,1329181.0
2004.0,10.175761044126164,4.2e-05,1331821.0
2005.0,10.190684194137718,4.6e-05,1337553.0
2006.0,9.883504105151415,3e-05,1388121.0
2007.0,9.767510906677465,3e-05,1330415.0
2008.0,9.498999202238165,4.2e-05,1347273.0
2009.0,9.927956989831658,0.000111,1443697.0
2010.0,9.96287457284091,0.001192,1551825.0
2011.0,10.083602907199767,1.657897,1501176.0
2012.0,10.124060045534845,1.890364,1450593.0
2013.0,9.847833493191368,2.044235,1438563.0
2014.0,9.515016932689571,2.138693,1394386.0
2015.0,9.45728064898702,2.122064,1428653.0
2016.0,9.094155290347333,16.610083,1432137.0
2017.0,8.868104551944784,19.804298,1399952.0
2018.0,8.77790356396536,21.639671,1459492.0
2019.0,8.824523099913014,19.963871,1451773.0
2020.0,3.4419483302220297,17.488249,452725.0
2021.0,4.082951958564076,18.169917,1395672.0
2022.0,5.043494505889749,17.647338,973789.0
2023.0,5.104757952655274,16.638503,1087836.0
2024.0,4.814093960356599,16.221359,1174006.0
