year,segment,real_exp_per_capita
2002.0,Insolvent,15.999115006953517
2002.0,Urban System,42.18677977146261
2002.0,Vulnerable,24.895060434997394
2002.0,Wealthy Outliers,52.606476777939044
2003.0,Insolvent,18.16716286548756
2003.0,Urban System,43.13789182574452
2003.0,Vulnerable,25.086874980184504
2003.0,Wealthy Outliers,56.165468318578114
2004.0,Insolvent,18.562117669263344
2004.0,Urban System,44.56067326415988
2004.0,Vulnerable,26.899683469850853
2004.0,Wealthy Outliers,56.80146736964495
2005.0,Insolvent,17.59144130038088
2005.0,Urban System,45.14721837025092
2005.0,Vulnerable,27.43501725328958
2005.0,Wealthy Outliers,59.03363966020917
2006.0,Insolvent,20.82849687420027
2006.0,Urban System,43.38071670707368
2006.0,Vulnerable,29.226508865575212
2006.0,Wealthy Outliers,98.37809002112067
2007.0,Insolvent,22.321055469158402
2007.0,Urban System,43.830035890828285
2007.0,Vulnerable,31.62609654632833
2007.0,Wealthy Outliers,59.63928258624475
2008.0,Insolvent,19.835077183588098
2008.0,Urban System,41.38936737316407
2008.0,Vulnerable,29.264213446273992
2008.0,Wealthy Outliers,60.37070020707114
2009.0,Insolvent,22.315486057881152
2009.0,Urban System,42.58628884492183
2009.0,Vulnerable,30.982262378579176
2009.0,Wealthy Outliers,62.2447453204277
2010.0,Insolvent,22.420156101808317
2010.0,Urban System,41.60874554419835
2010.0,Vulnerable,33.399794803190716
2010.0,Wealthy Outliers,67.64245969868455
2011.0,Insolvent,18.00770663976481
2011.0,Urban System,41.64428442168769
2011.0,Vulnerable,30.55413887171274
2011.0,Wealthy Outliers,68.9049122688973
2012.0,Insolvent,19.79769350306997
2012.0,Urban System,40.40902332450012
2012.0,Vulnerable,30.52919439011067
2012.0,Wealthy Outliers,63.73170288072714
2013.0,Insolvent,17.871826899455495
2013.0,Urban System,40.794358254212405
2013.0,Vulnerable,31.03759457144723
2013.0,Wealthy Outliers,64.4922289834969
2014.0,Insolvent,16.194217151633104
2014.0,Urban System,40.14127265117361
2014.0,Vulnerable,32.03004549062855
2014.0,Wealthy Outliers,64.45475107844722
2015.0,Insolvent,17.351949264891655
2015.0,Urban System,40.197103498073425
2015.0,Vulnerable,32.18411569184369
2015.0,Wealthy Outliers,64.94188388545973
2016.0,Insolvent,16.792163012684718
2016.0,Urban System,39.51151627058089
2016.0,Vulnerable,32.05973158483644
2016.0,Wealthy Outliers,65.02048482966894
2017.0,Insolvent,14.829672689894487
2017.0,Urban System,39.81262055219515
2017.0,Vulnerable,32.11997023149645
2017.0,Wealthy Outliers,66.85965118263955
2018.0,Insolvent,13.883311224103185
2018.0,Urban System,39.82423535012548
2018.0,Vulnerable,32.20610233947184
2018.0,Wealthy Outliers,65.87886805282061
2019.0,Insolvent,13.03181155345886
2019.0,Urban System,39.476692454055616
2019.0,Vulnerable,32.91887982777808
2019.0,Wealthy Outliers,69.88378343677647
2020.0,Insolvent,12.81495179390638
2020.0,Urban System,37.96272936577469
2020.0,Vulnerable,30.831379415589378
2020.0,Wealthy Outliers,63.81977730328649
2021.0,Insolvent,10.262857131814245
2021.0,Urban System,37.94675686242446
2021.0,Vulnerable,31.67019965945312
2021.0,Wealthy Outliers,72.27545861872271
2022.0,Insolvent,11.365996288905727
2022.0,Urban System,36.43159320638317
2022.0,Vulnerable,30.193281823756756
2022.0,Wealthy Outliers,70.21385152286608
2023.0,Insolvent,11.181883917514817
2023.0,Urban System,37.37256443964121
2023.0,Vulnerable,30.99581665175801
2023.0,Wealthy Outliers,67.64438861210353
2024.0,Insolvent,10.58554791226713
2024.0,Urban System,37.65149746993625
2024.0,Vulnerable,31.61892459800273
2024.0,Wealthy Outliers,91.46260199382611
