,Metric_Name,Median_Value,Mean_Value,Std_Dev,Gap_Percentage,Skewness
0,Staff,10,25.92,73.73,159.22,14.72
1,Total Borrowed,199,672.82,1386.25,238.1,9.16
2,Computer Workstations,7,27.94,130.84,299.21,17.46
3,Print Volumes - Eng,14774.5,74850.38,371415.77,406.62,17.27
4,Provincial Grants,10621,58388.19,305017.64,449.74,15.93
5,Household,1991,13608.48,63564.78,583.5,14.07
6,Population,3547.5,33474.82,158619.87,843.62,13.54
7,Active Cardholders,1128,12526.64,55840.12,1010.52,13.29
8,Phys Material Expenditure,10810,131491.07,742001.97,1116.38,15.46
9,Current Revenue,117558,1640470.16,10114911.3,1295.46,16.92
10,Current Expenditure,116712.5,1640244.63,10114216.21,1305.37,16.84
11,Materials Expenditure,12250,178178.59,1002723.88,1354.52,15.34
12,Other Revenue,3279,50906.02,313788.48,1452.49,16.23
13,Municipal Support,84459.5,1462229.78,9246423.11,1631.28,17.12
14,Annual Direct Circulation,15678,283409.95,1612690.12,1707.69,14.87
15,Total Donations,649,13482.42,107711.53,1977.41,25.05
16,Total Lent,30.5,668.16,2192.58,2090.7,50.97
17,Print Volumes - Fre,63,3671.74,21029.59,5728.16,16.14
18,Print Volumes - Oth,0,2459.77,27385.26,6000,18.65
