,city,Region,revenue_per_capita
291,Thornbury,Western,147.57994086877417
274,St. Thomas,Western,122.67103945137926
27,Bolton,Central,108.07917605407145
174,Meaford,Western,101.06843709185894
30,Bracebridge,Northern,100.73054030626986
111,Guelph,Western,100.53120757017373
272,St. Marys,Western,99.33748308525034
215,Parry Sound,Northern,95.60212240151185
130,Innisfil,Central,95.47543816341644
279,Stratford,Western,95.34334376504574
94,Fort Frances,Northern,94.64036967586392
53,Cobourg,Eastern,94.04030410838735
116,Hanover,Western,92.9322204091879
238,Renfrew,Eastern,90.84725274725275
321,Woodstock,Western,90.78094850518124
