year,Revenue Index,Circulation Index,Population Index
1999,100.0,100.0,100.0
2000,107.4947825325921,101.00388293351826,104.0473074518176
2001,108.25735809839827,105.83290160407321,100.3926395464575
2002,116.08700587142862,109.4469951134497,100.34015688087636
2003,123.06881406355808,112.3009542185159,100.59145849423771
2004,132.4204370887741,115.31877249877121,102.7262726205335
2005,142.41133898524927,119.10501866919762,105.94370032590197
2006,147.42204388211218,122.23543578625682,112.10748180769141
2007,152.7480822106569,122.49848488267511,113.68292299610658
2008,160.23653293098423,128.17054948707425,122.30911232684205
2009,167.41879067549996,135.606217868442,123.81353850915586
2010,168.49558594292319,137.0588132745995,124.70122608542276
2011,174.92411293080772,140.60092280485713,126.39236944336174
2012,173.2362932713572,142.0504843709625,127.18515567214097
2013,178.74717581581615,139.099221818436,128.03609577029124
2014,181.84642810018553,135.9141542243524,129.4802533970751
2015,186.43045442946377,135.90486607160278,130.2618221770021
2016,191.0334914970289,132.69053215399634,132.25922976401546
2017,198.28223149425878,129.9748699213242,132.85472538637478
2018,202.57602703686297,129.76339610579217,134.00154852700095
2019,209.39790266267008,131.49004238765525,135.06724461680204
2020,204.24986468425627,51.270542734367694,135.02431648777545
2021,195.61636857492036,60.80193925685955,134.98688654276208
2022,223.0316180478591,78.51179657963536,141.10804748623892
2023,237.75513387617383,79.46793338166552,141.1124018172844
2024,250.83787885573363,76.73831824182595,144.4927757034095
